RESULTADOS_CONVOCATORIA;CÓDIGO DE GRUPO;NOMBRE DEL GRUPO;LÍDER DEL GRUPO;GRUPO RECONOCIDO;GRUPO INSCRITO PARA MEDICIÓN;CLASIFICACIÓN DEL GRUPO
2019 - Convocatoria 833 - 2018;COL0075847;TEJIENDO REDES: CUERPO, EDUCACIÓN Y MOVIMIENTO;JOSÉ ENVER AYALA ZULUAGA;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0075847;TEJIENDO REDES: CUERPO, EDUCACIÓN Y MOVIMIENTO;JOSÉ ENVER AYALA ZULUAGA;Si;Sí;C
2016 - Convocatoria 737 - 2015;COL0075847;TEJIENDO REDES: CUERPO, EDUCACIÓN Y MOVIMIENTO;OSCAR EDUARDO SANCHEZ MUÑOZ;Si;SÍ;C
2015 - Convocatoria 693 - 2014;COL0075847;TEJIENDO REDES: CUERPO, EDUCACIÓN Y MOVIMIENTO;DIANA MARÍA GARCÍA CARDONA;Si;SÍ;C
2017 - Convocatoria 781 - 2017;COL0075856;GRUPO DE DISEÑO MECANICO COMPUTACIONAL;GERMÁN LEONARDO GARCÍA MONSALVE;Si;Sí;A
2016 - Convocatoria 737 - 2015;COL0075856;GRUPO DE DISEÑO MECANICO COMPUTACIONAL;GERMÁN LEONARDO GARCÍA MONSALVE;Si;SÍ;A
2015 - Convocatoria 693 - 2014;COL0075856;GRUPO DE DISEÑO MECANICO COMPUTACIONAL;GERMÁN LEONARDO GARCÍA MONSALVE;Si;SÍ;C
2019 - Convocatoria 833 - 2018;COL0075883;GRUPO EVALUACIÓN BIOLÓGICA DE SUSTANCIAS PROMISORIAS;LUIS ALBERTO FRANCO OSPINA;Si;Sí;A
2016 - Convocatoria 737 - 2015;COL0075883;GRUPO EVALUACIÓN BIOLÓGICA DE SUSTANCIAS PROMISORIAS;LUIS ALBERTO FRANCO OSPINA;Si;SÍ;A
2015 - Convocatoria 693 - 2014;COL0075883;GRUPO EVALUACIÓN BIOLÓGICA DE SUSTANCIAS PROMISORIAS;LUIS ALBERTO FRANCO OSPINA;Si;SÍ;A
2013 - Convocatoria 640 - 2013;COL0075883;GRUPO EVALUACIÓN BIOLÓGICA DE SUSTANCIAS PROMISORIAS;LUIS ALBERTO FRANCO OSPINA;Si;;A
2017 - Convocatoria 781 - 2017;COL0075883;GRUPO EVALUACIÓN BIOLÓGICA DE SUSTANCIAS PROMISORIAS;LUIS ALBERTO FRANCO OSPINA;Si;Sí;B
2015 - Convocatoria 693 - 2014;COL0075927;NUTRICIÓN Y CALIDAD DE VIDA PARA EL MUNDO;HELENA PACHÓN;Si;No;Reconocido
2013 - Convocatoria 640 - 2013;COL0075927;NUTRICIÓN Y CALIDAD DE VIDA PARA EL MUNDO;HELENA PACHÓN;No;;No reconocido_Avalado
2019 - Convocatoria 833 - 2018;COL0075936;GRUPO DE INVESTIGACIÓN EN INFORMÁTICA, INNOVACIÓN Y TECNOLOGÍA DE LA UNIVERSIDAD DE LA AMAZONIA (GITUA);EDWIN EDUARDO MILLAN ROJAS;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0075936;GRUPO DE INVESTIGACIÓN EN INFORMÁTICA, INNOVACIÓN Y TECNOLOGÍA DE LA UNIVERSIDAD DE LA AMAZONIA (GITUA);EDWIN EDUARDO MILLAN ROJAS;Si;Sí;C
2016 - Convocatoria 737 - 2015;COL0075936;GRUPO DE INVESTIGACIÓN EN INFORMÁTICA, INNOVACIÓN Y TECNOLOGÍA DE LA UNIVERSIDAD DE LA AMAZONIA (GITUA);EDWIN EDUARDO MILLAN ROJAS;Si;SÍ;C
2013 - Convocatoria 640 - 2013;COL0075936;GRUPO DE INVESTIGACIÓN EN INFORMÁTICA, INNOVACIÓN Y TECNOLOGÍA DE LA UNIVERSIDAD DE LA AMAZONIA (GITUA);JOSE JOAQUIN BOCANEGRA GARCIA;Si;;C
2013 - Convocatoria 640 - 2013;COL0076002;PRODUCCIÒN EN CIENCIA ANIMAL PROCA -;NORBERTO VILLA DUQUE;No;;No reconocido_Avalado
2019 - Convocatoria 833 - 2018;COL0076002;PRODUCCIÒN EN CIENCIA ANIMAL PROCA -;NORBERTO VILLA DUQUE;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0076002;PRODUCCIÒN EN CIENCIA ANIMAL PROCA -;NORBERTO VILLA DUQUE;Si;Sí;C
2016 - Convocatoria 737 - 2015;COL0076002;PRODUCCIÒN EN CIENCIA ANIMAL PROCA -;NORBERTO VILLA DUQUE;Si;SÍ;C
2015 - Convocatoria 693 - 2014;COL0076002;PRODUCCIÒN EN CIENCIA ANIMAL PROCA -;NORBERTO VILLA DUQUE;Si;SÍ;C
2019 - Convocatoria 833 - 2018;COL0076094;FLORA TRISTAN;LUZ DARY NARANJO COLORADO;Si;Sí;C
2019 - Convocatoria 833 - 2018;COL0076094;FLORA TRISTAN;LUZ DARY NARANJO COLORADO;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0076094;FLORA TRISTAN;LUZ DARY NARANJO COLORADO;Si;Sí;C
2019 - Convocatoria 833 - 2018;COL0076119;GRUPO DE INVESTIGACIÓN EN ECONOMÍA APLICADA Y REGULACIÓN EMAR;ALEXANDRA CORTÉS AGUILAR;Si;Sí;A
2013 - Convocatoria 640 - 2013;COL0076119;GRUPO DE INVESTIGACIÓN EN ECONOMÍA APLICADA Y REGULACIÓN EMAR;ALEXANDRA CORTÉS AGUILAR;Si;;B
2017 - Convocatoria 781 - 2017;COL0076119;GRUPO DE INVESTIGACIÓN EN ECONOMÍA APLICADA Y REGULACIÓN EMAR;ALEXANDRA CORTÉS AGUILAR;Si;Sí;B
2016 - Convocatoria 737 - 2015;COL0076119;GRUPO DE INVESTIGACIÓN EN ECONOMÍA APLICADA Y REGULACIÓN EMAR;ALEXANDRA CORTÉS AGUILAR;Si;SÍ;B
2015 - Convocatoria 693 - 2014;COL0076119;GRUPO DE INVESTIGACIÓN EN ECONOMÍA APLICADA Y REGULACIÓN EMAR;ALEXANDRA CORTÉS AGUILAR;Si;SÍ;B
2017 - Convocatoria 781 - 2017;COL0076156;INGLES COMO MEDIACION CULTURAL;JAVIER OSWAL-DO MORENO CARO;Si;Sí;C
2016 - Convocatoria 737 - 2015;COL0076156;INGLES COMO MEDIACION CULTURAL;JADDY BRIGITTE NIELSEN NIÑO;Si;SÍ;C
2015 - Convocatoria 693 - 2014;COL0076174;SOBRE EL ESTUDIO DE E.D.P. LINEALES Y NO-LINEALES;MAURICIO BOGOYA LÓPEZ;Si;SÍ;A1
2013 - Convocatoria 640 - 2013;COL0076174;SOBRE EL ESTUDIO DE E.D.P. LINEALES Y NO-LINEALES;MAURICIO BOGOYA LÓPEZ;No;;No reconocido_Avalado
2019 - Convocatoria 833 - 2018;COL0076174;SOBRE EL ESTUDIO DE E.D.P. LINEALES Y NO-LINEALES;MAURICIO BOGOYA LÓPEZ;Si;Sí;Reconocido
2017 - Convocatoria 781 - 2017;COL0076174;SOBRE EL ESTUDIO DE E.D.P. LINEALES Y NO-LINEALES;MAURICIO BOGOYA LÓPEZ;Si;Sí;Reconocido
2016 - Convocatoria 737 - 2015;COL0076174;SOBRE EL ESTUDIO DE E.D.P. LINEALES Y NO-LINEALES;MAURICIO BOGOYA LÓPEZ;Si;SÍ;A1
2019 - Convocatoria 833 - 2018;COL0076183;HUELLAS PEDAGOGICAS;CLEMENCIA DEL CONSUELO ZAPATA LESMES;Si;Sí;A
2017 - Convocatoria 781 - 2017;COL0076183;HUELLAS PEDAGOGICAS;CLEMENCIA DEL CONSUELO ZAPATA LESMES;Si;Sí;B
2016 - Convocatoria 737 - 2015;COL0076183;HUELLAS PEDAGOGICAS;CLEMENCIA DEL CONSUELO ZAPATA LESMES;Si;SÍ;B
2015 - Convocatoria 693 - 2014;COL0076183;HUELLAS PEDAGOGICAS;CLEMENCIA DEL CONSUELO ZAPATA LESMES;Si;SÍ;D
2013 - Convocatoria 640 - 2013;COL0076183;HUELLAS PEDAGOGICAS;CLEMENCIA DEL CONSUELO ZAPATA LESMES;Si;;D
2019 - Convocatoria 833 - 2018;COL0076209;GRUPO DE INVESTIGACIÓN EN ESTADÍSTICA Y MATEMÁTICA APLICADA EMAP;ANDRÉS FELIPE AMADOR RODRIGUEZ;Si;Sí;A1
2017 - Convocatoria 781 - 2017;COL0076209;GRUPO DE INVESTIGACIÓN EN ESTADÍSTICA Y MATEMÁTICA APLICADA EMAP;MAURICIO ALBERTO QUIMBAYA GÓMEZ;Si;Sí;B
2016 - Convocatoria 737 - 2015;COL0076209;GRUPO DE INVESTIGACIÓN EN ESTADÍSTICA Y MATEMÁTICA APLICADA EMAP;MAURICIO ALBERTO QUIMBAYA GÓMEZ;Si;SÍ;A
2013 - Convocatoria 640 - 2013;COL0076209;GRUPO DE INVESTIGACIÓN EN ESTADÍSTICA Y MATEMÁTICA APLICADA EMAP;DANIEL SUESCÚN DÍAZ;Si;;B
2015 - Convocatoria 693 - 2014;COL0076209;GRUPO DE INVESTIGACIÓN EN ESTADÍSTICA Y MATEMÁTICA APLICADA EMAP;DANIEL SUESCÚN DÍAZ;Si;SÍ;C
2019 - Convocatoria 833 - 2018;COL0076263;FUNDAMENTOS Y DIDÁCTICA DE LAS CIENCIAS;FAVIO ERNESTO CALA VITERY;Si;Sí;A1
2016 - Convocatoria 737 - 2015;COL0076263;FUNDAMENTOS Y DIDÁCTICA DE LAS CIENCIAS;FAVIO ERNESTO CALA VITERY;Si;SÍ;B
2015 - Convocatoria 693 - 2014;COL0076263;FUNDAMENTOS Y DIDÁCTICA DE LAS CIENCIAS;FAVIO ERNESTO CALA VITERY;Si;SÍ;B
2013 - Convocatoria 640 - 2013;COL0076263;FUNDAMENTOS Y DIDÁCTICA DE LAS CIENCIAS;FAVIO ERNESTO CALA VITERY;Si;;C
2017 - Convocatoria 781 - 2017;COL0076263;FUNDAMENTOS Y DIDÁCTICA DE LAS CIENCIAS;FAVIO ERNESTO CALA VITERY;Si;Sí;B
2016 - Convocatoria 737 - 2015;COL0076414;GRUPO DE BIOFÍSICAUDEA;MARCO ANTONIO GIRALDO CADAVID;Si;SÍ;B
2019 - Convocatoria 833 - 2018;COL0076414;GRUPO DE BIOFÍSICAUDEA;MARCO ANTONIO GIRALDO CADAVID;Si;Sí;B
2017 - Convocatoria 781 - 2017;COL0076414;GRUPO DE BIOFÍSICAUDEA;MARCO ANTONIO GIRALDO CADAVID;Si;Sí;B
2019 - Convocatoria 833 - 2018;COL0076459;INVESTIGADORES EN REPRODUCCIÓN ANIMAL Y BIOTECNOLOGÍA, IRABI;GIOVANNI MORENO FIGUEREDO;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0076459;INVESTIGADORES EN REPRODUCCIÓN ANIMAL Y BIOTECNOLOGÍA, IRABI;GIOVANNI MORENO FIGUEREDO;Si;No;Reconocido
2016 - Convocatoria 737 - 2015;COL0076459;INVESTIGADORES EN REPRODUCCIÓN ANIMAL Y BIOTECNOLOGÍA, IRABI;GIOVANNI MORENO FIGUEREDO;Si;SÍ;C
2015 - Convocatoria 693 - 2014;COL0076459;INVESTIGADORES EN REPRODUCCIÓN ANIMAL Y BIOTECNOLOGÍA, IRABI;GIOVANNI MORENO FIGUEREDO;Si;SÍ;C
2013 - Convocatoria 640 - 2013;COL0076459;INVESTIGADORES EN REPRODUCCIÓN ANIMAL Y BIOTECNOLOGÍA, IRABI;GIOVANNI MORENO FIGUEREDO;Si;;C
2019 - Convocatoria 833 - 2018;COL0076469;OPTIMIZACIÓN DE PROCESOS Y USO RACIONAL DE LA ENERGÍA Y BIOMASA OPUREB;RAFAEL DAVID GÓMEZ VÁSQUEZ;Si;Sí;C
2016 - Convocatoria 737 - 2015;COL0076469;OPTIMIZACIÓN DE PROCESOS Y USO RACIONAL DE LA ENERGÍA Y BIOMASA OPUREB;RAFAEL DAVID GÓMEZ VÁSQUEZ;Si;SÍ;C
2015 - Convocatoria 693 - 2014;COL0076469;OPTIMIZACIÓN DE PROCESOS Y USO RACIONAL DE LA ENERGÍA Y BIOMASA OPUREB;RAFAEL DAVID GÓMEZ VÁSQUEZ;Si;SÍ;C
2017 - Convocatoria 781 - 2017;COL0076469;OPTIMIZACIÓN DE PROCESOS Y USO RACIONAL DE LA ENERGÍA Y BIOMASA OPUREB;RAFAEL DAVID GÓMEZ VÁSQUEZ;Si;Sí;C
2013 - Convocatoria 640 - 2013;COL0076479;GENERO Y EDUCACIÓN;ANA CECILIA OSORIO CARDONA;Si;;D
2019 - Convocatoria 833 - 2018;COL0076512;GRUPO DE INVESTIGACIÓN EN CIENCIA, INNOVACIÓN Y TECNOLOGÍA (CIYT);JOHN ALEXANDER BOHADA JAIME;Si;Sí;B
2017 - Convocatoria 781 - 2017;COL0076512;GRUPO DE INVESTIGACIÓN EN CIENCIA, INNOVACIÓN Y TECNOLOGÍA (CIYT);JOHN ALEXANDER BOHADA JAIME;Si;Sí;C
2016 - Convocatoria 737 - 2015;COL0076512;GRUPO DE INVESTIGACIÓN EN CIENCIA, INNOVACIÓN Y TECNOLOGÍA (CIYT);JOHN ALEXANDER BOHADA JAIME;Si;SÍ;C
2015 - Convocatoria 693 - 2014;COL0076512;GRUPO DE INVESTIGACIÓN EN CIENCIA, INNOVACIÓN Y TECNOLOGÍA (CIYT);JOHN ALEXANDER BOHADA JAIME;Si;SÍ;C
2013 - Convocatoria 640 - 2013;COL0076512;GRUPO DE INVESTIGACIÓN EN CIENCIA, INNOVACIÓN Y TECNOLOGÍA (CIYT);JOHN ALEXANDER BOHADA JAIME;Si;;C
2019 - Convocatoria 833 - 2018;COL0076521;GRUPO DE INVESTIGACION EN PSICOLOGIA GIPSI;EDGAR ALFONSO ACUÑA BERMUDEZ;Si;Sí;A1
2017 - Convocatoria 781 - 2017;COL0076521;GRUPO DE INVESTIGACION EN PSICOLOGIA GIPSI;EDGAR ALFONSO ACUÑA BERMUDEZ;Si;Sí;A
2013 - Convocatoria 640 - 2013;COL0076521;GRUPO DE INVESTIGACION EN PSICOLOGIA GIPSI;EDGAR ALFONSO ACUÑA BERMUDEZ;Si;;C
2015 - Convocatoria 693 - 2014;COL0076521;GRUPO DE INVESTIGACION EN PSICOLOGIA GIPSI;EDGAR ALFONSO ACUÑA BERMUDEZ;Si;SÍ;C
2019 - Convocatoria 833 - 2018;COL0076577;GESTION EDUCATIVA;TITO JOSE CRISSIEN BORRERO;Si;Sí;A1
2019 - Convocatoria 833 - 2018;COL0076577;GESTION EDUCATIVA;TITO JOSE CRISSIEN BORRERO;Si;Sí;A1
2019 - Convocatoria 833 - 2018;COL0076577;GESTION EDUCATIVA;TITO JOSE CRISSIEN BORRERO;Si;Sí;A1
2017 - Convocatoria 781 - 2017;COL0076577;GESTION EDUCATIVA;TITO JOSE CRISSIEN BORRERO;Si;Sí;A
2017 - Convocatoria 781 - 2017;COL0076577;GESTION EDUCATIVA;TITO JOSE CRISSIEN BORRERO;Si;Sí;A
2017 - Convocatoria 781 - 2017;COL0076577;GESTION EDUCATIVA;TITO JOSE CRISSIEN BORRERO;Si;Sí;A
2016 - Convocatoria 737 - 2015;COL0076577;GESTION EDUCATIVA;TITO JOSE CRISSIEN BORRERO;Si;SÍ;A
2016 - Convocatoria 737 - 2015;COL0076577;GESTION EDUCATIVA;TITO JOSE CRISSIEN BORRERO;Si;SÍ;A
2015 - Convocatoria 693 - 2014;COL0076577;GESTION EDUCATIVA;TITO JOSE CRISSIEN BORRERO;Si;No;Reconocido
2013 - Convocatoria 640 - 2013;COL0076577;GESTION EDUCATIVA;TITO JOSE CRISSIEN BORRERO;Si;;C
2015 - Convocatoria 693 - 2014;COL0076595;DERECHO, ESTADO Y CIUDADANÍA;MELISSA RÍOS SARMIENTO;Si;SÍ;D
2013 - Convocatoria 640 - 2013;COL0076595;DERECHO, ESTADO Y CIUDADANÍA;MELISSA RÍOS SARMIENTO;Si;;D
2019 - Convocatoria 833 - 2018;COL0076595;DERECHO, ESTADO Y CIUDADANÍA;DIANA CAROLINA CAÑAVERAL LONDOÑO;Si;Sí;B
2017 - Convocatoria 781 - 2017;COL0076595;DERECHO, ESTADO Y CIUDADANÍA;JULIANA SÁNCHEZ VALLEJO;Si;Sí;C
2016 - Convocatoria 737 - 2015;COL0076595;DERECHO, ESTADO Y CIUDADANÍA;DIANA CAROLINA CAÑAVERAL LONDOÑO;Si;SÍ;C
2019 - Convocatoria 833 - 2018;COL0076601;MEDITA;FABIO BOLIVAR GRIMALDOS;Si;Sí;Reconocido
2017 - Convocatoria 781 - 2017;COL0076601;MEDITA;FABIO BOLIVAR GRIMALDOS;Si;No;Reconocido
2016 - Convocatoria 737 - 2015;COL0076601;MEDITA;FABIO BOLIVAR GRIMALDOS;Si;SÍ;C
2019 - Convocatoria 833 - 2018;COL0076666;GREECE;ALVARO GARCÍA MARTÍNEZ;Si;Sí;A
2017 - Convocatoria 781 - 2017;COL0076666;GREECE;ALVARO GARCÍA MARTÍNEZ;Si;Sí;A
2016 - Convocatoria 737 - 2015;COL0076666;GREECE;ALVARO GARCÍA MARTÍNEZ;Si;SÍ;A
2015 - Convocatoria 693 - 2014;COL0076666;GREECE;ALVARO GARCÍA MARTÍNEZ;Si;SÍ;C
2019 - Convocatoria 833 - 2018;COL0076746;CENTRO DE INVESTIGACIÓN EN GUERRA ASIMETRICA;JOHN EDWIN MEDINA CAMACHO;Si;Sí;B
2019 - Convocatoria 833 - 2018;COL0076746;CENTRO DE INVESTIGACIÓN EN GUERRA ASIMETRICA;JOHN EDWIN MEDINA CAMACHO;Si;Sí;B
2019 - Convocatoria 833 - 2018;COL0076746;CENTRO DE INVESTIGACIÓN EN GUERRA ASIMETRICA;JOHN EDWIN MEDINA CAMACHO;Si;Sí;B
2017 - Convocatoria 781 - 2017;COL0076746;CENTRO DE INVESTIGACIÓN EN GUERRA ASIMETRICA;HECTOR FABIAN DOMINGUEZ ARIAS;Si;Sí;B
2017 - Convocatoria 781 - 2017;COL0076746;CENTRO DE INVESTIGACIÓN EN GUERRA ASIMETRICA;HECTOR FABIAN DOMINGUEZ ARIAS;Si;Sí;B
2017 - Convocatoria 781 - 2017;COL0076746;CENTRO DE INVESTIGACIÓN EN GUERRA ASIMETRICA;HECTOR FABIAN DOMINGUEZ ARIAS;Si;Sí;B
2016 - Convocatoria 737 - 2015;COL0076746;CENTRO DE INVESTIGACIÓN EN GUERRA ASIMETRICA;GERMÁN ALBERTO FELIPE SAHID GARNICA;Si;SÍ;D
2016 - Convocatoria 737 - 2015;COL0076746;CENTRO DE INVESTIGACIÓN EN GUERRA ASIMETRICA;GERMÁN ALBERTO FELIPE SAHID GARNICA;Si;SÍ;D
2016 - Convocatoria 737 - 2015;COL0076746;CENTRO DE INVESTIGACIÓN EN GUERRA ASIMETRICA;GERMÁN ALBERTO FELIPE SAHID GARNICA;Si;SÍ;D
2015 - Convocatoria 693 - 2014;COL0076746;CENTRO DE INVESTIGACIÓN EN GUERRA ASIMETRICA;MARTHA ALEIDA ARENAS MOLINA;Si;SÍ;D
2015 - Convocatoria 693 - 2014;COL0076746;CENTRO DE INVESTIGACIÓN EN GUERRA ASIMETRICA;MARTHA ALEIDA ARENAS MOLINA;Si;SÍ;D
2013 - Convocatoria 640 - 2013;COL0076764;GIEDU: GRUPO DE INVESTIGACIÓN EN INFANCIA Y EDUCACIÓN;ALEXANDER LUIS ORTIZ OCAÑA;Si;;D
2013 - Convocatoria 640 - 2013;COL0076764;GIEDU: GRUPO DE INVESTIGACIÓN EN INFANCIA Y EDUCACIÓN;ALEXANDER LUIS ORTIZ OCAÑA;Si;;D
2016 - Convocatoria 737 - 2015;COL0076764;GIEDU: GRUPO DE INVESTIGACIÓN EN INFANCIA Y EDUCACIÓN;ALEXANDER LUIS ORTIZ OCAÑA;Si;SÍ;A
2019 - Convocatoria 833 - 2018;COL0076764;GIEDU: GRUPO DE INVESTIGACIÓN EN INFANCIA Y EDUCACIÓN;ALEXANDER LUIS ORTIZ OCAÑA;Si;Sí;A
2017 - Convocatoria 781 - 2017;COL0076764;GIEDU: GRUPO DE INVESTIGACIÓN EN INFANCIA Y EDUCACIÓN;ALEXANDER LUIS ORTIZ OCAÑA;Si;Sí;A1
2015 - Convocatoria 693 - 2014;COL0076764;GIEDU: GRUPO DE INVESTIGACIÓN EN INFANCIA Y EDUCACIÓN;ALEXANDER LUIS ORTIZ OCAÑA;Si;SÍ;D
2016 - Convocatoria 737 - 2015;COL0076817;GRUPO DE INVESTIGACION PYME. GIP(I+D);CARLOS ARTURO CANO HERNANDEZ;Si;SÍ;C
2016 - Convocatoria 737 - 2015;COL0076817;GRUPO DE INVESTIGACION PYME. GIP(I+D);CARLOS ARTURO CANO HERNANDEZ;Si;SÍ;C
2015 - Convocatoria 693 - 2014;COL0076817;GRUPO DE INVESTIGACION PYME. GIP(I+D);CARLOS ARTURO CANO HERNANDEZ;Si;SÍ;C
2013 - Convocatoria 640 - 2013;COL0076817;GRUPO DE INVESTIGACION PYME. GIP(I+D);CARLOS ARTURO CANO HERNANDEZ;Si;;C
2013 - Convocatoria 640 - 2013;COL0076817;GRUPO DE INVESTIGACION PYME. GIP(I+D);CARLOS ARTURO CANO HERNANDEZ;Si;;C
2013 - Convocatoria 640 - 2013;COL0076817;GRUPO DE INVESTIGACION PYME. GIP(I+D);CARLOS ARTURO CANO HERNANDEZ;Si;;C
2019 - Convocatoria 833 - 2018;COL0076826;BIOPROSPECCION AGROPECUARIA;ALEXANDER PEREZ CORDERO;Si;Sí;A
2017 - Convocatoria 781 - 2017;COL0076826;BIOPROSPECCION AGROPECUARIA;ALEXANDER PEREZ CORDERO;Si;Sí;A
2016 - Convocatoria 737 - 2015;COL0076826;BIOPROSPECCION AGROPECUARIA;ALEXANDER PEREZ CORDERO;Si;SÍ;B
2015 - Convocatoria 693 - 2014;COL0076826;BIOPROSPECCION AGROPECUARIA;ALEXANDER PEREZ CORDERO;Si;SÍ;B
2013 - Convocatoria 640 - 2013;COL0076826;BIOPROSPECCION AGROPECUARIA;ALEXANDER PEREZ CORDERO;Si;;A
2019 - Convocatoria 833 - 2018;COL0076835;EDUCACION Y PEDAGOGIA: SABERES, IMAGINARIOS E INTERSUBJETIVIDADES;HÉCTOR FABIO OSPINA SERNA;Si;Sí;A1
2019 - Convocatoria 833 - 2018;COL0076835;EDUCACION Y PEDAGOGIA: SABERES, IMAGINARIOS E INTERSUBJETIVIDADES;HÉCTOR FABIO OSPINA SERNA;Si;Sí;A1
2017 - Convocatoria 781 - 2017;COL0076835;EDUCACION Y PEDAGOGIA: SABERES, IMAGINARIOS E INTERSUBJETIVIDADES;HÉCTOR FABIO OSPINA SERNA;Si;Sí;A1
2017 - Convocatoria 781 - 2017;COL0076835;EDUCACION Y PEDAGOGIA: SABERES, IMAGINARIOS E INTERSUBJETIVIDADES;HÉCTOR FABIO OSPINA SERNA;Si;Sí;A1
2016 - Convocatoria 737 - 2015;COL0076835;EDUCACION Y PEDAGOGIA: SABERES, IMAGINARIOS E INTERSUBJETIVIDADES;HÉCTOR FABIO OSPINA SERNA;Si;SÍ;A1
2016 - Convocatoria 737 - 2015;COL0076835;EDUCACION Y PEDAGOGIA: SABERES, IMAGINARIOS E INTERSUBJETIVIDADES;HÉCTOR FABIO OSPINA SERNA;Si;SÍ;A1
2015 - Convocatoria 693 - 2014;COL0076835;EDUCACION Y PEDAGOGIA: SABERES, IMAGINARIOS E INTERSUBJETIVIDADES;HÉCTOR FABIO OSPINA SERNA;Si;SÍ;A
2015 - Convocatoria 693 - 2014;COL0076835;EDUCACION Y PEDAGOGIA: SABERES, IMAGINARIOS E INTERSUBJETIVIDADES;HÉCTOR FABIO OSPINA SERNA;Si;SÍ;A
2013 - Convocatoria 640 - 2013;COL0076835;EDUCACION Y PEDAGOGIA: SABERES, IMAGINARIOS E INTERSUBJETIVIDADES;HÉCTOR FABIO OSPINA SERNA;Si;;A
2013 - Convocatoria 640 - 2013;COL0076835;EDUCACION Y PEDAGOGIA: SABERES, IMAGINARIOS E INTERSUBJETIVIDADES;HÉCTOR FABIO OSPINA SERNA;Si;;A
2019 - Convocatoria 833 - 2018;COL0076853;AGRICULTURA SOSTENIBLE;RODRIGO ORLANDO CAMPO ARANA;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0076853;AGRICULTURA SOSTENIBLE;RODRIGO ORLANDO CAMPO ARANA;Si;Sí;Reconocido
2016 - Convocatoria 737 - 2015;COL0076853;AGRICULTURA SOSTENIBLE;RODRIGO ORLANDO CAMPO ARANA;Si;SÍ;C
2015 - Convocatoria 693 - 2014;COL0076853;AGRICULTURA SOSTENIBLE;JOSE LUÍS BARRERA VIOLETH;Si;SÍ;C
2019 - Convocatoria 833 - 2018;COL0076942;EL CUIDAR;BELINDA INES LEE OSORNO;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0076942;EL CUIDAR;BELINDA INES LEE OSORNO;Si;Sí;B
2016 - Convocatoria 737 - 2015;COL0076942;EL CUIDAR;BELINDA INES LEE OSORNO;Si;SÍ;C
2015 - Convocatoria 693 - 2014;COL0076942;EL CUIDAR;BELINDA INES LEE OSORNO;Si;SÍ;C
2015 - Convocatoria 693 - 2014;COL0076979;KAYROS: ESTUDIOS HISTÓRICOS Y CULTURALES;CAMPO RICARDO BURGOS LÓPEZ;Si;No;Reconocido
2013 - Convocatoria 640 - 2013;COL0076979;KAYROS: ESTUDIOS HISTÓRICOS Y CULTURALES;CAMPO RICARDO BURGOS LÓPEZ;Si;;D
2019 - Convocatoria 833 - 2018;COL0076979;KAYROS: ESTUDIOS HISTÓRICOS Y CULTURALES;JOSÉ ANGEL HERNÁNDEZ GARCÍA;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0076979;KAYROS: ESTUDIOS HISTÓRICOS Y CULTURALES;JOSÉ ANGEL HERNÁNDEZ GARCÍA;Si;Sí;C
2016 - Convocatoria 737 - 2015;COL0076979;KAYROS: ESTUDIOS HISTÓRICOS Y CULTURALES;JOSÉ ANGEL HERNÁNDEZ GARCÍA;Si;SÍ;C
2013 - Convocatoria 640 - 2013;COL0077009;IDENTIDADES;CARLOS ALBERTO PALACIOS SINISTERRA;Si;;D
2015 - Convocatoria 693 - 2014;COL0077019;CULTURA, EDUCACION Y SOCIEDAD;MÓNICA PAOLA FRANCO MONTENEGRO;Si;SÍ;B
2013 - Convocatoria 640 - 2013;COL0077019;CULTURA, EDUCACION Y SOCIEDAD;MÓNICA PAOLA FRANCO MONTENEGRO;Si;;B
2019 - Convocatoria 833 - 2018;COL0077019;CULTURA, EDUCACION Y SOCIEDAD;KETTY MILENA HERRERA MENDOZA;Si;Sí;A1
2017 - Convocatoria 781 - 2017;COL0077019;CULTURA, EDUCACION Y SOCIEDAD;KETTY MILENA HERRERA MENDOZA;Si;Sí;A1
2016 - Convocatoria 737 - 2015;COL0077019;CULTURA, EDUCACION Y SOCIEDAD;KETTY MILENA HERRERA MENDOZA;Si;SÍ;B
2016 - Convocatoria 737 - 2015;COL0077028;DESARROLLO REGIONAL IDER-;FERNANDO PANESSO;Si;SÍ;C
2015 - Convocatoria 693 - 2014;COL0077028;DESARROLLO REGIONAL IDER-;FERNANDO PANESSO;Si;SÍ;C
2013 - Convocatoria 640 - 2013;COL0077028;DESARROLLO REGIONAL IDER-;FERNANDO PANESSO;Si;;D
2019 - Convocatoria 833 - 2018;COL0077028;DESARROLLO REGIONAL IDER-;JULIO CÉSAR RIASCOS;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0077028;DESARROLLO REGIONAL IDER-;JULIO CÉSAR RIASCOS;Si;Sí;C
2019 - Convocatoria 833 - 2018;COL0077064;INGENIERIA DEL SOFTWARE Y REDES;PAOLA PATRICIA ARIZA COLPAS;Si;Sí;A
